"cat","val","species","common_name"
"Blühzeit:","jfmamjjasond","Allium-sativum","Knoblauch"
"Blütenform:","doldenförmig","Allium-sativum","Knoblauch"
"Aussaat:","jfmamjjasond","Allium-sativum","Knoblauch"
"Ordnung:","Spargelartige","Allium-sativum","Knoblauch"
"Familie:","Amaryllisgewächse","Allium-sativum","Knoblauch"
"Gattung:","Lauch","Allium-sativum","Knoblauch"
"Licht:","Sonne","Apium-graveolens","Sellerie"
"Boden:","humus","Apium-graveolens","Sellerie"
"Wasser:","frisch","Apium-graveolens","Sellerie"
"Nährstoffe:","nährstoffreicher Boden","Apium-graveolens","Sellerie"
"Pflanzenart:","Einjährige","Apium-graveolens","Sellerie"
"Wuchs:"," aufrecht","Apium-graveolens","Sellerie"
"Höhe:","30 - 40 cm","Apium-graveolens","Sellerie"
"Wurzelsystem:","Herzwurzler","Apium-graveolens","Sellerie"
"Blütenfarbe:"," weiß","Apium-graveolens","Sellerie"
"Blühzeit:","jfmamjjasond","Apium-graveolens","Sellerie"
"Blütenform:","strahlenförmig","Apium-graveolens","Sellerie"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Apium-graveolens","Sellerie"
"Raupenfutterpflanze:","1 Arten","Apium-graveolens","Sellerie"
"Säugetiere:","1 fressende Arten","Apium-graveolens","Sellerie"
"Aussaat:","jfmamjjasond","Apium-graveolens","Sellerie"
"Ordnung:","Doldenblüterartige","Apium-graveolens","Sellerie"
"Familie:","Doldenblütler","Apium-graveolens","Sellerie"
"Gattung:","Sellerie","Apium-graveolens","Sellerie"
"Licht:","Sonne","Beta-vulgaris","Beta-Rübe"
"Boden:","durchlässig bis lehmig","Beta-vulgaris","Beta-Rübe"
"Wasser:","feucht","Beta-vulgaris","Beta-Rübe"
"Nährstoffe:","nährstoffreicher Boden","Beta-vulgaris","Beta-Rübe"
"Pflanzenart:","Zweijährige","Beta-vulgaris","Beta-Rübe"
"Höhe:","20 - 120 cm","Beta-vulgaris","Beta-Rübe"
"Wurzelsystem:","Pfahlwurzler","Beta-vulgaris","Beta-Rübe"
"Blütenfarbe:"," grün","Beta-vulgaris","Beta-Rübe"
"Blühzeit:","jfmamjjasond","Beta-vulgaris","Beta-Rübe"
"Blütenform:","einzeln oder knäuelförmig","Beta-vulgaris","Beta-Rübe"
"Schmetterlinge:","Schmetterlingsweide (4 Arten)","Beta-vulgaris","Beta-Rübe"
"Raupenfutterpflanze:","4 Arten","Beta-vulgaris","Beta-Rübe"
"Säugetiere:","4 fressende Arten","Beta-vulgaris","Beta-Rübe"
"Aussaat:","jfmamjjasond","Beta-vulgaris","Beta-Rübe"
"Ordnung:","Nelkenartige","Beta-vulgaris","Beta-Rübe"
"Familie:","Fuchsschwanzgewächse","Beta-vulgaris","Beta-Rübe"
"Gattung:","Rüben","Beta-vulgaris","Beta-Rübe"
"Licht:","Sonne","Brassica-oleracea","Gemüsekohl"
"Boden:","durchlässig bis humus","Brassica-oleracea","Gemüsekohl"
"Wasser:","frisch","Brassica-oleracea","Gemüsekohl"
"Nährstoffe:","normaler Boden","Brassica-oleracea","Gemüsekohl"
"Pflanzenart:","Einjährige","Brassica-oleracea","Gemüsekohl"
"Höhe:","40 - 120 cm","Brassica-oleracea","Gemüsekohl"
"Breite:","30 - 90 cm","Brassica-oleracea","Gemüsekohl"
"Wurzelsystem:","Pfahlwurzler","Brassica-oleracea","Gemüsekohl"
"Blütenfarbe:"," gelb","Brassica-oleracea","Gemüsekohl"
"Blühzeit:","jfmamjjasond","Brassica-oleracea","Gemüsekohl"
"Blütenform:","lang benagelt","Brassica-oleracea","Gemüsekohl"
"Bienen:","Bienenweide (6 Arten)","Brassica-oleracea","Gemüsekohl"
"Schmetterlinge:","Schmetterlingsweide (3 Arten)","Brassica-oleracea","Gemüsekohl"
"Raupenfutterpflanze:","3 Arten","Brassica-oleracea","Gemüsekohl"
"Ordnung:","Kreuzblütlerartige","Brassica-oleracea","Gemüsekohl"
"Familie:","Kreuzblütler","Brassica-oleracea","Gemüsekohl"
"Gattung:","Kohl","Brassica-oleracea","Gemüsekohl"
"Licht:","Sonne bis Halbschatten","Brassica-rapa","Rübsen"
"Boden:","normal","Brassica-rapa","Rübsen"
"Wasser:","frisch","Brassica-rapa","Rübsen"
"Nährstoffe:","normaler Boden","Brassica-rapa","Rübsen"
"Pflanzenart:","Zweijährige","Brassica-rapa","Rübsen"
"Höhe:","40 - 100 cm","Brassica-rapa","Rübsen"
"Breite:","30 - 40 cm","Brassica-rapa","Rübsen"
"Wurzelsystem:","Pfahlwurzler","Brassica-rapa","Rübsen"
"Blütenfarbe:"," gelb","Brassica-rapa","Rübsen"
"Blühzeit:","jfmamjjasond","Brassica-rapa","Rübsen"
"Blütenform:","traubenförmig","Brassica-rapa","Rübsen"
"Bienen:","Bienenweide (15 Arten)","Brassica-rapa","Rübsen"
"Nektarwert:","2 von 4","Brassica-rapa","Rübsen"
"Pollenwert:","2 von 4","Brassica-rapa","Rübsen"
"Aussaat:","jfmamjjasond","Brassica-rapa","Rübsen"
"Gründünger:","Als Gründünger verwendbar","Brassica-rapa","Rübsen"
"Ordnung:","Kreuzblütlerartige","Brassica-rapa","Rübsen"
"Familie:","Kreuzblütler","Brassica-rapa","Rübsen"
"Gattung:","Kohl","Brassica-rapa","Rübsen"
"Licht:","Sonne","Cichorium-endivia","Endivie"
"Boden:","humus","Cichorium-endivia","Endivie"
"Wasser:","feucht","Cichorium-endivia","Endivie"
"Nährstoffe:","nährstoffreicher Boden","Cichorium-endivia","Endivie"
"Pflanzenart:","Zweijährige","Cichorium-endivia","Endivie"
"Höhe:","30 - 70 cm","Cichorium-endivia","Endivie"
"Breite:","10 - 30 cm","Cichorium-endivia","Endivie"
"Wurzelsystem:","Pfahlwurzler","Cichorium-endivia","Endivie"
"Blütenfarbe:"," violett","Cichorium-endivia","Endivie"
"Blühzeit:","jfmamjjasond","Cichorium-endivia","Endivie"
"Blütenform:","körbchenförmig","Cichorium-endivia","Endivie"
"Schmetterlinge:","Schmetterlingsweide (5 Arten)","Cichorium-endivia","Endivie"
"Raupenfutterpflanze:","5 Arten","Cichorium-endivia","Endivie"
"Aussaat:","jfmamjjasond","Cichorium-endivia","Endivie"
"Ordnung:","Asternartige","Cichorium-endivia","Endivie"
"Familie:","Korbblütler","Cichorium-endivia","Endivie"
"Gattung:","Wegwarten","Cichorium-endivia","Endivie"
"Licht:","Sonne","Cichorium-intybus","Wegwarte"
"Boden:","humus","Cichorium-intybus","Wegwarte"
"Wasser:","frisch bis trocken","Cichorium-intybus","Wegwarte"
"Nährstoffe:","nährstoffreicher Boden","Cichorium-intybus","Wegwarte"
"Pflanzenart:","Zweijährige","Cichorium-intybus","Wegwarte"
"Wuchs:"," aufrecht","Cichorium-intybus","Wegwarte"
"Höhe:","30 - 120 cm","Cichorium-intybus","Wegwarte"
"Breite:","35 - 50 cm","Cichorium-intybus","Wegwarte"
"schnittverträglich:","ja","Cichorium-intybus","Wegwarte"
"Wurzelsystem:","Pfahlwurzler","Cichorium-intybus","Wegwarte"
"Frostverträglich:","bis -40 °C (bis Klimazone 3)","Cichorium-intybus","Wegwarte"
"Blütenfarbe:"," blau","Cichorium-intybus","Wegwarte"
"Blühzeit:","jfmamjjasond","Cichorium-intybus","Wegwarte"
"Blütenform:","strahlenförmig, radiärsymmetrisch","Cichorium-intybus","Wegwarte"
"Bienen:","Bienenweide (38 Arten)","Cichorium-intybus","Wegwarte"
"Schmetterlinge:","Schmetterlingsweide (5 Arten)","Cichorium-intybus","Wegwarte"
"Raupenfutterpflanze:","5 Arten","Cichorium-intybus","Wegwarte"
"Nektarwert:","3 von 4","Cichorium-intybus","Wegwarte"
"Pollenwert:","3 von 4","Cichorium-intybus","Wegwarte"
"Säugetiere:","5 fressende Arten","Cichorium-intybus","Wegwarte"
"Pflanzen je ㎡:","5","Cichorium-intybus","Wegwarte"
"Ordnung:","Asternartige","Cichorium-intybus","Wegwarte"
"Familie:","Korbblütler","Cichorium-intybus","Wegwarte"
"Gattung:","Wegwarten","Cichorium-intybus","Wegwarte"
"Licht:","Sonne","Cucumis-sativus","Gurke"
"Boden:","humus","Cucumis-sativus","Gurke"
"Wasser:","frisch","Cucumis-sativus","Gurke"
"Nährstoffe:","nährstoffreicher Boden","Cucumis-sativus","Gurke"
"Pflanzenart:","Einjährige","Cucumis-sativus","Gurke"
"Wuchs:","kletternd","Cucumis-sativus","Gurke"
"Höhe:","30 - 70 cm","Cucumis-sativus","Gurke"
"Breite:","40 - 60 cm","Cucumis-sativus","Gurke"
"Wurzelsystem:","Flachwurzler","Cucumis-sativus","Gurke"
"Blütenfarbe:"," gelb","Cucumis-sativus","Gurke"
"Blühzeit:","jfmamjjasond","Cucumis-sativus","Gurke"
"Blütenform:","fünfblättrig, einfach","Cucumis-sativus","Gurke"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Cucumis-sativus","Gurke"
"Raupenfutterpflanze:","1 Arten","Cucumis-sativus","Gurke"
"Aussaat:","jfmamjjasond","Cucumis-sativus","Gurke"
"Ordnung:","Kürbisartige","Cucumis-sativus","Gurke"
"Familie:","Kürbisgewächse","Cucumis-sativus","Gurke"
"Gattung:","Gurken","Cucumis-sativus","Gurke"
"Licht:","Sonne bis Halbschatten","Cucurbita-pepo","Garten-Kürbis"
"Boden:","durchlässig bis humus","Cucurbita-pepo","Garten-Kürbis"
"Wasser:","frisch","Cucurbita-pepo","Garten-Kürbis"
"Nährstoffe:","normaler Boden","Cucurbita-pepo","Garten-Kürbis"
"Kübel/Balkon geeignet:","ja","Cucurbita-pepo","Garten-Kürbis"
"Pflanzenart:","Einjährige","Cucurbita-pepo","Garten-Kürbis"
"Höhe:","30 - 40 cm","Cucurbita-pepo","Garten-Kürbis"
"Breite:","2 - 3 m","Cucurbita-pepo","Garten-Kürbis"
"Wurzelsystem:","Flachwurzler","Cucurbita-pepo","Garten-Kürbis"
"Blütenfarbe:"," gelb","Cucurbita-pepo","Garten-Kürbis"
"Blühzeit:","jfmamjjasond","Cucurbita-pepo","Garten-Kürbis"
"Blütenform:","körbchenförmig","Cucurbita-pepo","Garten-Kürbis"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Cucurbita-pepo","Garten-Kürbis"
"Raupenfutterpflanze:","1 Arten","Cucurbita-pepo","Garten-Kürbis"
"Ordnung:","Kürbisartige","Cucurbita-pepo","Garten-Kürbis"
"Familie:","Kürbisgewächse","Cucurbita-pepo","Garten-Kürbis"
"Gattung:","Kürbisse","Cucurbita-pepo","Garten-Kürbis"
"Licht:","Sonne","Daucus-carota","Wilde Möhre,Echte Möhre"
"Boden:","durchlässig bis normal","Daucus-carota","Wilde Möhre,Echte Möhre"
"Wasser:","trocken","Daucus-carota","Wilde Möhre,Echte Möhre"
"Nährstoffe:","nährstoffarmer bis normaler Boden","Daucus-carota","Wilde Möhre,Echte Möhre"
"Kübel/Balkon geeignet:","ja, Kübelgröße mittel","Daucus-carota","Wilde Möhre,Echte Möhre"
"Pflanzenart:","Zweijährige","Daucus-carota","Wilde Möhre,Echte Möhre"
"Wuchs:"," aufrecht, rosettenbildend","Daucus-carota","Wilde Möhre,Echte Möhre"
"Wuchs Konkurrenz:","mittel","Daucus-carota","Wilde Möhre,Echte Möhre"
"Höhe:","30 - 80 cm","Daucus-carota","Wilde Möhre,Echte Möhre"
"Wurzelsystem:","Pfahlwurzler","Daucus-carota","Wilde Möhre,Echte Möhre"
"Blütenfarbe:"," weiß","Daucus-carota","Wilde Möhre,Echte Möhre"
"Blühzeit:","jfmamjjasond","Daucus-carota","Wilde Möhre,Echte Möhre"
"Blütenform:","doldenförmig","Daucus-carota","Wilde Möhre,Echte Möhre"
"Bienen:","Bienenweide (25 Arten)","Daucus-carota","Wilde Möhre,Echte Möhre"
"Schmetterlinge:","Schmetterlingsweide (12 Arten)","Daucus-carota","Wilde Möhre,Echte Möhre"
"Raupenfutterpflanze:","9 Arten","Daucus-carota","Wilde Möhre,Echte Möhre"
"Säugetiere:","9 fressende Arten","Daucus-carota","Wilde Möhre,Echte Möhre"
"Aussaat:","jfmamjjasond","Daucus-carota","Wilde Möhre,Echte Möhre"
"Keimer:","Lichtkeimer, Kaltkeimer","Daucus-carota","Wilde Möhre,Echte Möhre"
"Ordnung:","Doldenblütlerartige","Daucus-carota","Wilde Möhre,Echte Möhre"
"Familie:","Doldenblütler","Daucus-carota","Wilde Möhre,Echte Möhre"
"Gattung:","Möhre","Daucus-carota","Wilde Möhre,Echte Möhre"
"Licht:","Sonne","Foeniculum-vulgare","Fenchel"
"Boden:","durchlässig bis normal","Foeniculum-vulgare","Fenchel"
"Wasser:","frisch bis trocken","Foeniculum-vulgare","Fenchel"
"Nährstoffe:","nährstoffreicher Boden","Foeniculum-vulgare","Fenchel"
"Pflanzenart:","Zweijährige","Foeniculum-vulgare","Fenchel"
"Wuchs:","aufrecht","Foeniculum-vulgare","Fenchel"
"Höhe:","80 - 200 cm","Foeniculum-vulgare","Fenchel"
"Breite:","60 - 80 cm","Foeniculum-vulgare","Fenchel"
"Wurzelsystem:","Pfahlwurzler","Foeniculum-vulgare","Fenchel"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Foeniculum-vulgare","Fenchel"
"Blütenfarbe:"," gelb","Foeniculum-vulgare","Fenchel"
"Blühzeit:","jfmamjjasond","Foeniculum-vulgare","Fenchel"
"Blütenform:","radiärsymmetrisch, klein, unscheinbar","Foeniculum-vulgare","Fenchel"
"Bienen:","Bienenweide (1 Arten)","Foeniculum-vulgare","Fenchel"
"Schmetterlinge:","Schmetterlingsweide (2 Arten)","Foeniculum-vulgare","Fenchel"
"Raupenfutterpflanze:","2 Arten","Foeniculum-vulgare","Fenchel"
"Säugetiere:","2 fressende Arten","Foeniculum-vulgare","Fenchel"
"Aussaat:","jfmamjjasond","Foeniculum-vulgare","Fenchel"
"Pflanzen je ㎡:","7","Foeniculum-vulgare","Fenchel"
"Anwendung im Beet:","Strukturpflanze","Foeniculum-vulgare","Fenchel"
"Stütze:","Pflanze benötigt keine Stütze","Foeniculum-vulgare","Fenchel"
"Ordnung:","Doldenblütlerartige","Foeniculum-vulgare","Fenchel"
"Familie:","Doldenblütler","Foeniculum-vulgare","Fenchel"
"Gattung:","Foeniculum","Foeniculum-vulgare","Fenchel"
"Licht:","Sonne","Helianthus-tuberosus","Topinambur"
"Boden:","durchlässig","Helianthus-tuberosus","Topinambur"
"Wasser:","frisch bis trocken","Helianthus-tuberosus","Topinambur"
"Nährstoffe:","nährstoffreicher Boden","Helianthus-tuberosus","Topinambur"
"Pflanzenart:","Staude","Helianthus-tuberosus","Topinambur"
"Höhe:","1,5 - 3 m","Helianthus-tuberosus","Topinambur"
"Wurzelsystem:","Zwiebel","Helianthus-tuberosus","Topinambur"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Helianthus-tuberosus","Topinambur"
"Blütenfarbe:"," gelb","Helianthus-tuberosus","Topinambur"
"Blühzeit:","jfmamjjasond","Helianthus-tuberosus","Topinambur"
"Blütenform:","strahlenförmig, radiärsymmetrisch","Helianthus-tuberosus","Topinambur"
"Aussaat:","jfmamjjasond","Helianthus-tuberosus","Topinambur"
"Ordnung:","Asternartige","Helianthus-tuberosus","Topinambur"
"Familie:","Korbblütler","Helianthus-tuberosus","Topinambur"
"Gattung:","Sonnenblumen","Helianthus-tuberosus","Topinambur"
"Licht:","Sonne bis Halbschatten","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Boden:","durchlässig bis normal","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Wasser:","frisch bis trocken","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Nährstoffe:","nährstoffreicher Boden","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Pflanzenart:","Einjährige","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Höhe:","20 - 30 cm","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Breite:","20 - 30 cm","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"schnittverträglich:","ja","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Wurzelsystem:","Pfahlwurzler","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Blütenfarbe:"," gelb","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Blühzeit:","jfmamjjasond","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Blütenform:","rispenförmig","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Schmetterlinge:","Schmetterlingsweide (14 Arten)","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Raupenfutterpflanze:","14 Arten","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Aussaat:","jfmamjjasond","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Ordnung:","Asternartige","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Familie:","Korbblütler","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Gattung:","Lattiche","Lactuca-sativa","Grüner Salat,Gartenlattich, Gartensalat"
"Licht:","Sonne bis Halbschatten","Lycopersicon-esculentum","Tomaten"
"Boden:","durchlässig bis humus","Lycopersicon-esculentum","Tomaten"
"Wasser:","frisch bis trocken","Lycopersicon-esculentum","Tomaten"
"Nährstoffe:","nährstoffreicher Boden","Lycopersicon-esculentum","Tomaten"
"Pflanzenart:","Einjährige","Lycopersicon-esculentum","Tomaten"
"Höhe:","40 - 120 cm","Lycopersicon-esculentum","Tomaten"
"Wurzelsystem:","Flachwurzler","Lycopersicon-esculentum","Tomaten"
"Blütenfarbe:"," gelb","Lycopersicon-esculentum","Tomaten"
"Blühzeit:","jfmamjjasond","Lycopersicon-esculentum","Tomaten"
"Blütenform:","radiärsymmetrisch","Lycopersicon-esculentum","Tomaten"
"Ordnung:","Nachtschattenartige","Lycopersicon-esculentum","Tomaten"
"Familie:","Nachtschattengewächse","Lycopersicon-esculentum","Tomaten"
"Gattung:","Nachtschatten","Lycopersicon-esculentum","Tomaten"
"Licht:","Sonne bis Halbschatten","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Boden:","lehmig","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Wasser:","frisch","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Nährstoffe:","nährstoffreicher Boden","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Kübel/Balkon geeignet:","ja","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Pflanzenart:","Einjährige","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Wuchs:","kletternd","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Höhe:","2 - 7 m","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Breite:","30 - 40 cm","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Wurzelsystem:","Tiefwurzler","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Blütenfarbe:"," rot","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Blühzeit:","jfmamjjasond","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Blütenform:","traubenförmig, Einzelblüte","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Bienen:","Bienenweide (1 Arten)","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Aussaat:","jfmamjjasond","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Ordnung:","Schmetterlingsblütenartige","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Familie:","Hülsenfrüchtler","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Gattung:","Phaseolus","Phaseolus-coccineus","Feuerbohne,Wollbohne"
"Licht:","Sonne bis Halbschatten","Pisum-sativum","Erbse,Gartenerbse"
"Boden:","lehmig","Pisum-sativum","Erbse,Gartenerbse"
"Wasser:","frisch bis trocken","Pisum-sativum","Erbse,Gartenerbse"
"Nährstoffe:","nährstoffreicher Boden","Pisum-sativum","Erbse,Gartenerbse"
"PH-Wert:","basisch / kalk","Pisum-sativum","Erbse,Gartenerbse"
"Pflanzenart:","Einjährige","Pisum-sativum","Erbse,Gartenerbse"
"Höhe:","50 - 200 cm","Pisum-sativum","Erbse,Gartenerbse"
"Breite:","40 - 60 cm","Pisum-sativum","Erbse,Gartenerbse"
"Wurzelsystem:","Flachwurzler","Pisum-sativum","Erbse,Gartenerbse"
"Blütenfarbe:"," weiß","Pisum-sativum","Erbse,Gartenerbse"
"Blühzeit:","jfmamjjasond","Pisum-sativum","Erbse,Gartenerbse"
"Blütenform:","zygomorph, zwittrig","Pisum-sativum","Erbse,Gartenerbse"
"Bienen:","Bienenweide (1 Arten)","Pisum-sativum","Erbse,Gartenerbse"
"Schmetterlinge:","Schmetterlingsweide (5 Arten)","Pisum-sativum","Erbse,Gartenerbse"
"Raupenfutterpflanze:","5 Arten","Pisum-sativum","Erbse,Gartenerbse"
"Säugetiere:","5 fressende Arten","Pisum-sativum","Erbse,Gartenerbse"
"Aussaat:","jfmamjjasond","Pisum-sativum","Erbse,Gartenerbse"
"Ordnung:","Schmetterlingsblütenartige","Pisum-sativum","Erbse,Gartenerbse"
"Familie:","Hülsenfrüchtler","Pisum-sativum","Erbse,Gartenerbse"
"Gattung:","Erbsen","Pisum-sativum","Erbse,Gartenerbse"
"Licht:","Sonne","Raphanus-sativus","Garten-Rettich"
"Boden:","durchlässig","Raphanus-sativus","Garten-Rettich"
"Wasser:","frisch","Raphanus-sativus","Garten-Rettich"
"Nährstoffe:","nährstoffreicher Boden","Raphanus-sativus","Garten-Rettich"
"Pflanzenart:","Einjährige","Raphanus-sativus","Garten-Rettich"
"Höhe:","30 - 100 cm","Raphanus-sativus","Garten-Rettich"
"Breite:","10 - 20 cm","Raphanus-sativus","Garten-Rettich"
"Wurzelsystem:","Pfahlwurzler","Raphanus-sativus","Garten-Rettich"
"Blütenfarbe:"," violett","Raphanus-sativus","Garten-Rettich"
"Blühzeit:","jfmamjjasond","Raphanus-sativus","Garten-Rettich"
"Ordnung:","Kreuzblütlerartige","Raphanus-sativus","Garten-Rettich"
"Familie:","Kreuzblütlergewächse","Raphanus-sativus","Garten-Rettich"
"Gattung:","Rettiche","Raphanus-sativus","Garten-Rettich"
"Licht:","Sonne bis Halbschatten","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
"Boden:","durchlässig bis humus","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
"Wasser:","feucht","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
"Nährstoffe:","nährstoffreicher Boden","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
"Pflanzenart:","Staude","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
"Wuchs:","bogig geneigt, horstig, ausladend","Rheum-rhabarbarum","Gewöhnlicher Rhabarber,Krauser Rhabarber"
