"fed_state","species_cleaned","species_naturadb","rl_cat","naturadb_common_name","Bienen","Blütenfarbe","Boden","Dachbegrünung geeignet","Familie","Frostverträglich","Gattung","Höhe","Kübel/Balkon geeignet","Licht","Nährstoffe","PH-Wert","Säugetiere","Schmetterlinge","Vögel","Wasser"
"Baden-Württemberg","Asperula tinctoria","asperula-tinctoria","2","Färber-Meier","Bienenweide","weiß","durchlässig bis humus",NA,"Rubiaceae","bis -34 °C (bis Klimazone 4)","Meier","20 - 70 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Aster amellus","aster-amellus","V","Berg-Aster,Kalk-Aster","Bienenweide (1 Arten)","lila","durchlässig",NA,"Korbblütler","bis -28 °C (bis Klimazone 5)","Astern","20 - 50 cm","ja, Kübelgröße mittel","Sonne","normaler Boden",NA,"2 fressende Arten","Schmetterlingsweide (4 Arten)",NA,"trocken"
"Baden-Württemberg","Aster bellidiastrum","aster-bellidiastrum","V","Alpenmaßlieb","Bienenweide","weiß","durchlässig bis lehmig",NA,"Korbblütler","bis -23 °C (bis Klimazone 6)","Astern","5 - 30 cm",NA,"Sonne bis Halbschatten","normaler Boden","basisch / kalk",NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Aster linosyris","aster-linosyris","3","Goldhaar-Aster","Bienenweide","gelb","durchlässig bis normal","ja","Korbblütler","bis -34 °C (bis Klimazone 4)","Astern","40 - 60 cm","ja, Kübelgröße mittel","Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Baden-Württemberg","Astragalus cicer","astragalus-cicer","3","Kicher-Tragant","Bienenweide","gelb","durchlässig bis humus",NA,"Hülsenfrüchtler","bis -34 °C (bis Klimazone 4)","Tragant","20 - 90 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Baden-Württemberg","Athamanta cretensis","athamanta-cretensis","2","Alpen-Augenwurz,Zottige Augenwurz",NA,"weiß","durchlässig",NA,"Doldenblütler","bis -23 °C (bis Klimazone 6)","Augenwurzen","10 - 40 cm",NA,"Sonne","nährstoffarmer Boden","basisch / kalk",NA,NA,NA,"trocken"
"Baden-Württemberg","Bartsia alpina","bartsia-alpina","V","Alpen-Bartschie,Alpenhelm",NA,"violett","humus",NA,"Sommerwurzgewächse","bis -28 °C (bis Klimazone 5)","Bartsia","10 - 20 cm",NA,"Sonne","normaler Boden","basisch / kalk",NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Betula humilis","betula-humilis","2","Niedrige Birke",NA,"grün","normal bis lehmig",NA,"Birkengewächse","bis -34 °C (bis Klimazone 4)","Birken","50 - 200 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Betula nana","betula-nana","1","Zwerg-Birke",NA,"grün",NA,NA,"Birkengewächse",NA,"Birken","40 - 80 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (3 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Biscutella laevigata ssp. varia","biscutella-laevigata","3","Glatt-Brillenschötchen","Bienenweide (2 Arten)","gelb","normal bis humus",NA,"Kreuzblütler","bis -23 °C (bis Klimazone 6)","Brillenschötchen","15 - 40 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Bryonia alba","bryonia-alba","R","Weiße Zaunrübe","Bienenweide (1 Arten)","grün","lehmig",NA,"Kürbisgewächse",NA,"Zaunrüben","2 - 4 m",NA,"Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"frisch"
"Baden-Württemberg","Buphthalmum salicifolium","buphthalmum-salicifolium","V","Ochsenauge,Weidenblatt-Rindsauge","Bienenweide (4 Arten)","gelb","durchlässig bis normal",NA,"Korbblütler","bis -34 °C (bis Klimazone 4)","Ochsenauge","20 - 60 cm","ja, Kübelgröße mittel","Sonne","nährstoffarmer Boden",NA,NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Bupleurum longifolium","bupleurum-longifolium","V","Langblättriges Hasenohr",NA,"gelb","durchlässig bis humus",NA,"Doldenblütler","bis -23 °C (bis Klimazone 6)","Hasenohren","30 - 90 cm",NA,"Halbschatten","normaler bis nährstoffreicher Boden","basisch / kalk",NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Bupleurum rotundifolium","bupleurum-rotundifolium","1","Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr",NA,"gelb","durchlässig",NA,"Doldenblütler","bis -23 °C (bis Klimazone 6)","Hasenohren","15 - 50 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Calamagrostis pseudophragmites","calamagrostis-pseudophragmites","2","Ufer-Reitgras",NA,"grün","durchlässig",NA,"Süßgräser",NA,"Reitgräser","80 - 120 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht"
"Baden-Württemberg","Calamagrostis varia","calamagrostis-varia","V","Berg-Reitgras",NA,"grün","durchlässig bis normal",NA,"Süßgräser",NA,"Reitgräser","80 - 150 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Calendula arvensis","calendula-arvensis","1","Acker-Ringelblume","Bienenweide","gelb","durchlässig bis humus",NA,"Korbblütler",NA,"Ringelblumen","10 - 20 cm","ja, Kübelgröße mittel","Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Calla palustris","calla-palustris","2","Sumpfkalla,Drachenwurz",NA,"weiß","lehmig",NA,"Aronstabgewächse","bis -34 °C (bis Klimazone 4)","Calla","15 - 50 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht"
"Baden-Württemberg","Campanula cervicaria","campanula-cervicaria","2","Borstige Glockenblume","Bienenweide (3 Arten)","blau","durchlässig bis lehmig",NA,"Glockenblumengewächse","bis -28 °C (bis Klimazone 5)","Glockenblumen","40 - 80 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"feucht bis frisch"
"Baden-Württemberg","Campanula cochleariifolia","campanula-cochleariifolia","3","Zwerg-Glockenblume,Niedliche Glockenblume","Bienenweide (1 Arten)","blau","durchlässig","ja","Glockenblumengewächse","bis -28 °C (bis Klimazone 5)","Glockenblumen","5 - 15 cm","ja","Sonne bis Schatten","nährstoffarmer Boden",NA,"2 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Campanula glomerata","campanula-glomerata","V","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Bienenweide (10 Arten)","violett","durchlässig bis lehmig",NA,"Glockenblumengewächse","bis -45,5 °C (bis Klimazone 2)","Glockenblumen","20 - 60 cm","ja","Sonne bis Halbschatten","nährstoffarmer bis normaler Boden","basisch / kalk",NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Baden-Württemberg","Campanula rhomboidalis","campanula-rhomboidalis","R","Rautenblättrige Glockenblume","Bienenweide (1 Arten)","violett","durchlässig bis lehmig",NA,"Glockenblumengewächse","bis -28 °C (bis Klimazone 5)","Glockenblumen","25 - 70 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide",NA,"feucht"
"Baden-Württemberg","Campanula scheuchzeri","campanula-scheuchzeri","V","Scheuchzers Glockenblume","Bienenweide","violett","lehmig","ja","Glockenblumengewächse","bis -28 °C (bis Klimazone 5)","Glockenblumen","10 - 20 cm","ja","Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide",NA,"frisch"
"Baden-Württemberg","Carduus acanthoides","carduus-acanthoides","V","Weg-Distel","Bienenweide (3 Arten)","blau","normal bis humus",NA,"Korbblütler",NA,"Ringdisteln","30 - 120 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (4 Arten)",NA,"trocken"
"Baden-Württemberg","Carduus defloratus","carduus-defloratus","V","Alpen-Distel","Bienenweide (2 Arten)","rosa","durchlässig bis lehmig",NA,"Korbblütler","bis -28 °C (bis Klimazone 5)","Ringdisteln","20 - 80 cm",NA,"Sonne","nährstoffreicher Boden","basisch / kalk",NA,"Schmetterlingsweide (2 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Carex davalliana","carex-davalliana","3","Davalls Segge,Torf-Segge",NA,"braun","durchlässig bis humus",NA,"Sauergrasgewächse","bis -34 °C (bis Klimazone 4)","Seggen","30 - 40 cm",NA,"Sonne bis Halbschatten","normaler Boden","basisch / kalk",NA,NA,NA,"feucht bis frisch"
"Baden-Württemberg","Carex diandra","carex-diandra","2","Draht-Segge",NA,"braun","durchlässig",NA,"Sauergrasgewächse",NA,"Seggen","20 - 60 cm",NA,"Sonne bis Halbschatten",NA,"sauer",NA,"Schmetterlingsweide (1 Arten)",NA,"feucht"
"Baden-Württemberg","Carex ericetorum","carex-ericetorum","2","Heide-Segge",NA,"gelb","durchlässig",NA,"Sauergrasgewächse",NA,"Seggen","10 - 30 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden","sauer",NA,NA,NA,"trocken"
"Baden-Württemberg","Carex flava","carex-flava","V","Gelbe Segge",NA,"gelb","durchlässig bis normal",NA,"Sauergrasgewächse","bis -12 °C (bis Klimazone 8)","Seggen","15 - 50 cm",NA,"Sonne",NA,NA,NA,NA,NA,"feucht bis frisch"
"Baden-Württemberg","Carex humilis","carex-humilis","V","Erd-Segge,Zwergsegge",NA,"gelb","durchlässig bis normal",NA,"Sauergrasgewächse","bis -34 °C (bis Klimazone 4)","Seggen","20 - 30 cm","ja","Sonne","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Baden-Württemberg","Carex nigra","carex-nigra","V","Wiesen-Segge",NA,"grün","durchlässig bis humus",NA,"Sauergrasgewächse","bis -28 °C (bis Klimazone 5)","Seggen","30 - 50 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Carex pseudocyperus","carex-pseudocyperus","V","Scheinzypergras-Segge",NA,"grün","lehmig",NA,"Sauergrasgewächse","bis -12 °C (bis Klimazone 8)","Seggen","40 - 90 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden","sauer",NA,NA,NA,"feucht"
"Baden-Württemberg","Carex sempervirens","carex-sempervirens","3","Horst-Segge",NA,"grün","durchlässig bis lehmig",NA,"Sauergrasgewächse","bis -28 °C (bis Klimazone 5)","Seggen","20 - 40 cm",NA,"Sonne",NA,NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Carex vulpina","carex-vulpina","V","Fuchs-Segge",NA,"grün","durchlässig bis lehmig",NA,"Sauergrasgewächse","bis -17 °C (bis Klimazone 7)","Seggen","30 - 60 cm",NA,"Sonne bis Halbschatten",NA,NA,NA,NA,NA,"feucht"
"Baden-Württemberg","Carlina acaulis ssp. caulescens","carlina-acaulis","V","Silberdistel,Große Eberwurz","Bienenweide","weiß","durchlässig",NA,"Korbblütler","bis -34 °C (bis Klimazone 4)","Eberwurzen","10 - 30 cm",NA,"Sonne","nährstoffarmer Boden",NA,"3 fressende Arten","Schmetterlingsweide (6 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Centaurea pseudophrygia","centaurea-pseudophrygia","3","Perücken-Flockenblume","Bienenweide (1 Arten)","rot","lehmig",NA,"Korbblütler",NA,"Flockenblumen","30 - 80 cm",NA,"Sonne bis Schatten","nährstoffreicher Boden",NA,NA,NA,NA,"frisch"
"Baden-Württemberg","Ceratophyllum submersum","ceratophyllum-submersum","3","Zartes Hornblatt",NA,NA,NA,NA,"Hornblattgewächse",NA,"Hornblatt",NA,NA,"",NA,NA,NA,NA,NA,"Wasserpflanze"
"Baden-Württemberg","Chenopodium bonus-henricus","chenopodium-bonus-henricus","V","Guter Heinrich",NA,"grün","durchlässig bis lehmig",NA,"Fuchsschwanzgewächse","bis -28 °C (bis Klimazone 5)","Blitum","20 - 60 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"3 fressende Arten","Schmetterlingsweide (3 Arten)",NA,"frisch"
"Baden-Württemberg","Chondrilla juncea","chondrilla-juncea","3","Großer Knorpellattich,Binsen-Knorpellattich","Bienenweide (1 Arten)","gelb","durchlässig bis lehmig",NA,"Korbblütler",NA,"Knorpellattiche","50 - 100 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"trocken"
"Baden-Württemberg","Cicerbita plumieri","cicerbita-plumieri","1","Französischer Milchlattich","Bienenweide","blau","durchlässig bis lehmig",NA,"Korbblütler","bis -28 °C (bis Klimazone 5)","Milchlattiche","60 - 150 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"frisch"
