"fed_state","species_cleaned","species_naturadb","rl_cat","naturadb_common_name","naturadb_cat","naturadb_val"
"Baden-Württemberg","Arabis nemorensis","arabis-nemorensis","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Arabis pauciflora","arabis-pauciflora","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Arabis turrita","arabis-turrita","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aremonia agrimonoides","aremonia-agrimonoides","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aristolochia clematitis","aristolochia-clematitis","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Armeria purpurea","armeria-purpurea","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Armeria vulgaris","armeria-vulgaris","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Arnoseris minima","arnoseris-minima","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asperugo procumbens","asperugo-procumbens","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asperula arvensis","asperula-arvensis","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asplenium adiantum-nigrum","asplenium-adiantum-nigrum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asplenium ceterach","asplenium-ceterach","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asplenium fontanum","asplenium-fontanum","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asplenium obovatum ssp. lanceolatum","asplenium-obovatum","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Asplenium septentrionale","asplenium-septentrionale","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Astragalus danicus","astragalus-danicus","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bassia laniflora","bassia-laniflora","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bidens cernuus","bidens-cernuus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bidens radiatus","bidens-radiatus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bifora radians","bifora-radians","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Blackstonia acuminata","blackstonia-acuminata","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Blackstonia perfoliata","blackstonia-perfoliata","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Blysmus compressus","blysmus-compressus","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bothriochloa ischoemum","bothriochloa-ischoemum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Botrychium lunaria","botrychium-lunaria","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Botrychium matricariifolium","botrychium-matricariifolium","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Botrychium multifidum","botrychium-multifidum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Botrychium simplex","botrychium-simplex","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bromus arvensis","bromus-arvensis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bromus grossus","bromus-grossus","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bromus racemosus","bromus-racemosus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bromus secalinus","bromus-secalinus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bromus squarrosus","bromus-squarrosus","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Bunium bulbocastanum","bunium-bulbocastanum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Calamagrostis phragmitoides","calamagrostis-phragmitoides","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Calamagrostis stricta","calamagrostis-stricta","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Calamintha menthifolia","calamintha-menthifolia","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Calepina irregularis","calepina-irregularis","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Camelina alyssum","camelina-alyssum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Camelina microcarpa","camelina-microcarpa","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Camelina sativa","camelina-sativa","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Campanula barbata","campanula-barbata","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Campanula baumgartenii","campanula-baumgartenii","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cardamine enneaphyllos","cardamine-enneaphyllos","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cardaminopsis halleri","cardaminopsis-halleri","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex appropinquata","carex-appropinquata","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex bohemica","carex-bohemica","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex brachystachys","carex-brachystachys","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex brunnescens","carex-brunnescens","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex buxbaumii","carex-buxbaumii","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex canescens","carex-canescens","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex capitata","carex-capitata","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex cespitosa","carex-cespitosa","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex chordorrhiza","carex-chordorrhiza","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex dioica","carex-dioica","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex distans","carex-distans","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex echinata","carex-echinata","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex elongata","carex-elongata","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex frigida","carex-frigida","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex halleriana","carex-halleriana","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex hartmanii","carex-hartmanii","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex heleonastes","carex-heleonastes","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex hostiana","carex-hostiana","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex lasiocarpa","carex-lasiocarpa","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex lepidocarpa","carex-lepidocarpa","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex limosa","carex-limosa","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex microglochin","carex-microglochin","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex pauciflora","carex-pauciflora","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex praecox","carex-praecox","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex pulicaris","carex-pulicaris","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex supina","carex-supina","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex tomentosa","carex-tomentosa","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Carex viridula","carex-viridula","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Catabrosa aquatica","catabrosa-aquatica","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Caucalis platycarpos","caucalis-platycarpos","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Centaurea calcitrapa","centaurea-calcitrapa","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Centaurium pulchellum","centaurium-pulchellum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cephalanthera longifolia","cephalanthera-longifolia","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cephalanthera rubra","cephalanthera-rubra","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cerastium brachypetalum","cerastium-brachypetalum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cerastium dubium","cerastium-dubium","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Ceratocephala falcata","ceratocephala-falcata","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cerinthe alpina","cerinthe-alpina","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium glaucum","chenopodium-glaucum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium murale","chenopodium-murale","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium opulifolium","chenopodium-opulifolium","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium rubrum","chenopodium-rubrum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium striatiforme","chenopodium-striatiforme","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium urbicum","chenopodium-urbicum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chenopodium vulvaria","chenopodium-vulvaria","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chimaphila umbellata","chimaphila-umbellata","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chlorocrepis staticifolia","chlorocrepis-staticifolia","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chondrilla chondrilloides","chondrilla-chondrilloides","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Chrysanthemum segetum","chrysanthemum-segetum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cicendia filiformis","cicendia-filiformis","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cochlearia pyrenaica","cochlearia-pyrenaica","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Coeloglossum viride","coeloglossum-viride","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Conringia orientalis","conringia-orientalis","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Corallorrhiza trifida","corallorrhiza-trifida","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Corispermum leptopterum","corispermum-leptopterum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Corispermum marschallii","corispermum-marschallii","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Coronopus squamatus","coronopus-squamatus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Corrigiola litoralis","corrigiola-litoralis","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cotoneaster tomentosus","cotoneaster-tomentosus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis alpestris","crepis-alpestris","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis foetida","crepis-foetida","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis mollis","crepis-mollis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis praemorsa","crepis-praemorsa","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis pulchra","crepis-pulchra","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis pyrenaica","crepis-pyrenaica","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crepis setosa","crepis-setosa","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Crocus albiflorus","crocus-albiflorus","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cryptogramma crispa","cryptogramma-crispa","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cucubalus baccifer","cucubalus-baccifer","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cuscuta epilinum","cuscuta-epilinum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cuscuta epithymum","cuscuta-epithymum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cynoglossum germanicum","cynoglossum-germanicum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cyperus flavescens","cyperus-flavescens","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cyperus fuscus","cyperus-fuscus","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cypripedium calceolus","cypripedium-calceolus","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cystopteris dickieana","cystopteris-dickieana","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Cystopteris montana","cystopteris-montana","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Dactylorhiza majalis","dactylorhiza-majalis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Dactylorhiza ochroleuca","dactylorhiza-ochroleuca","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Dactylorhiza sambucina","dactylorhiza-sambucina","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Dactylorhiza traunsteineri","dactylorhiza-traunsteineri","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Daphne laureola","daphne-laureola","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Deschampsia littoralis","deschampsia-littoralis","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Deschampsia media","deschampsia-media","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Dianthus sylvaticus","dianthus-sylvaticus","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum alpinum","diphasiastrum-alpinum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum complanatum","diphasiastrum-complanatum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum issleri","diphasiastrum-issleri","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum oellgaardii","diphasiastrum-oellgaardii","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum tristachyum","diphasiastrum-tristachyum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diphasiastrum zeilleri","diphasiastrum-zeilleri","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Diplotaxis muralis","diplotaxis-muralis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Draba muralis","draba-muralis","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Drosera intermedia","drosera-intermedia","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Drosera longifolia","drosera-longifolia","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Drosera rotundifolia","drosera-rotundifolia","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Elatine alsinastrum","elatine-alsinastrum","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Elatine hexandra","elatine-hexandra","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Elatine hydropiper","elatine-hydropiper","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Elatine triandra","elatine-triandra","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Eleocharis ovata","eleocharis-ovata","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Eleocharis quinqueflora","eleocharis-quinqueflora","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Eleocharis uniglumis","eleocharis-uniglumis","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Empetrum hermaphroditum","empetrum-hermaphroditum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epilobium alpestre","epilobium-alpestre","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epilobium alsinifolium","epilobium-alsinifolium","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epilobium anagallidifolium","epilobium-anagallidifolium","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epilobium duriaei","epilobium-duriaei","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epilobium nutans","epilobium-nutans","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epipactis atrorubens","epipactis-atrorubens","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epipactis microphylla","epipactis-microphylla","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epipactis muelleri","epipactis-muelleri","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epipactis palustris","epipactis-palustris","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Epipogium aphyllum","epipogium-aphyllum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Equisetum x moorei","equisetum-x-moorei","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Equisetum pratense","equisetum-pratense","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Equisetum ramosissimum","equisetum-ramosissimum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Equisetum x trachyodon","equisetum-x-trachyodon","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Eragrostis cilianensis","eragrostis-cilianensis","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Erigeron acris ssp. angulosus","erigeron-acris","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Erigeron gaudinii","erigeron-gaudinii","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Eriophorum gracile","eriophorum-gracile","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Erysimum repandum","erysimum-repandum","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Erysimum strictum","erysimum-strictum","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Euonymus latifolius","euonymus-latifolius","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Euphorbia falcata","euphorbia-falcata","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Euphorbia platyphyllos","euphorbia-platyphyllos","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Euphrasia micrantha","euphrasia-micrantha","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Euphrasia salisburgensis","euphrasia-salisburgensis","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Festuca duvalii","festuca-duvalii","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago arvensis","filago-arvensis","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago gallica","filago-gallica","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago lutescens","filago-lutescens","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago minima","filago-minima","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago pyramidata","filago-pyramidata","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Filago vulgaris","filago-vulgaris","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Fumaria parviflora","fumaria-parviflora","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Fumaria schleicheri","fumaria-schleicheri","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gagea pratensis","gagea-pratensis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gagea spathacea","gagea-spathacea","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium anisophyllon","galium-anisophyllon","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium elongatum","galium-elongatum","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium lucidum","galium-lucidum","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium parisiense","galium-parisiense","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium spurium","galium-spurium","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium tricornutum","galium-tricornutum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium valdepilosum","galium-valdepilosum","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Galium wirtgenii","galium-wirtgenii","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gaudinia fragilis","gaudinia-fragilis","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gentiana utriculosa","gentiana-utriculosa","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gentianella campestris","gentianella-campestris","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gentianella ciliata","gentianella-ciliata","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gnaphalium supinum","gnaphalium-supinum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Goodyera repens","goodyera-repens","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Groenlandia densa","groenlandia-densa","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Gymnadenia odoratissima","gymnadenia-odoratissima","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hammarbya paludosa","hammarbya-paludosa","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Helictotrichon pratense","helictotrichon-pratense","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Heliotropium europaeum","heliotropium-europaeum","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Herminium monorchis","herminium-monorchis","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Herniaria hirsuta","herniaria-hirsuta","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium amplexicaule","hieracium-amplexicaule","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium aridum","hieracium-aridum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium arvicola","hieracium-arvicola","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium auriculoides","hieracium-auriculoides","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium benzianum","hieracium-benzianum","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium bifidum","hieracium-bifidum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium bupleuroides","hieracium-bupleuroides","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium caesium","hieracium-caesium","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium calodon","hieracium-calodon","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium cottetii","hieracium-cottetii","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium cymosum","hieracium-cymosum","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Hieracium fallacinum","hieracium-fallacinum","3","not in naturadb","not in naturadb","not in naturadb"
