Bundesland,Wissenschaftlicher Name,Deutscher Name,Familie,Gefährdung,Licht,Wasser,Nährstoffe,PH-Wert,Boden,Frostverträglich,Maximale Höhe,Blütenfarbe,Bienen,Schmetterlinge,Vögel,Säugetiere,Dachbegrünung,Balkon,h_binned
Baden-Württemberg,Allium sphaerocephalon,"Kugelköpfiger Lauch,Kopflauch",Amaryllisgewächse,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -28 °C (bis Klimazone 5),60,pink,Bienenweide (3 Arten),Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,"ja, Kübelgröße mittel",40-60 cm
Baden-Württemberg,Allium suaveolens,"Duftlauch,Wohlriechender Lauch",Amaryllisgewächse,3,Sonne,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,bis -17 °C (bis Klimazone 7),60,rosa,Bienenweide,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Alnus alnobetula,Grün-Erle,Birkengewächse,V,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,sauer,lehmig,NA,250,grün,NA,Schmetterlingsweide (4 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Althaea officinalis,Echter Eibisch,Malvengewächse,2,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,NA,bis -40 °C (bis Klimazone 3),200,rosa,Bienenweide (1 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,ja,100+ cm
Baden-Württemberg,Alyssum alyssoides,Kelch-Steinkraut,Kreuzblütlergewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,NA,20,gelb,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Anagallis tenella,Zarter Gauchheil,Primelgewächse,1,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,NA,12,rosa,NA,NA,NA,NA,NA,"ja, Kübelgröße klein",0-40 cm
Baden-Württemberg,Anchusa officinalis,Gemeine Ochsenzunge,Raublattgewächse,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),100,violett,Bienenweide (7 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Andromeda polifolia,"Polei-Gränke,Lavendelheide, Rosmarinheide",Heidekrautgewächse,3,Sonne bis Halbschatten,frisch,normaler Boden,NA,normal bis humus,NA,40,weiß,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,ja,0-40 cm
Baden-Württemberg,Anemone narcissiflora,Narzissen-Windröschen,Hahnenfußgewächse,3,Sonne,frisch,nährstoffreicher Boden,NA,lehmig,bis -40 °C (bis Klimazone 3),50,weiß,NA,NA,NA,NA,ja,ja,40-60 cm
Baden-Württemberg,Anemone sylvestris,Großes Windröschen,Hahnenfußgewächse,2,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,NA,NA,bis -34 °C (bis Klimazone 4),40,weiß,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Antennaria dioica,Gewöhnliche Katzenpfötchen,Korbblütler,2,Sonne,trocken,nährstoffarmer Boden,sauer,durchlässig,bis -28 °C (bis Klimazone 5),15,weiß,Bienenweide,NA,NA,NA,ja,ja,0-40 cm
Baden-Württemberg,Anthemis arvensis,Acker-Hundskamille,Korbblütler,V,Sonne,frisch bis trocken,nährstoffreicher Boden,sauer,NA,bis -12 °C (bis Klimazone 8),70,weiß,Bienenweide (6 Arten),Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Anthemis tinctoria,"Färberkamille,Färber-Hundskamille",Korbblütler,3,Sonne,trocken,normaler Boden,NA,durchlässig,bis -23 °C (bis Klimazone 6),50,gelb,Bienenweide (7 Arten),Schmetterlingsweide (4 Arten),NA,2 fressende Arten,NA,ja,40-60 cm
Baden-Württemberg,Anthericum liliago,"Traubige Graslilie,Astlose Graslilie",Spargelgewächse,3,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),60,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,40-60 cm
Baden-Württemberg,Anthericum ramosum,"Ästige Graslilie,Rispige Graslilie",Spargelgewächse,V,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -17 °C (bis Klimazone 7),60,weiß,Bienenweide (2 Arten),Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,40-60 cm
Baden-Württemberg,Apium graveolens,Sellerie,Doldenblütler,1,Sonne,frisch,nährstoffreicher Boden,NA,humus,NA,40,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,0-40 cm
Baden-Württemberg,Apium nodiflorum,"Knotenblütiger Sellerie,Sumpfschirm",Doldenblütler,3,Sonne,feucht,nährstoffreicher Boden,NA,humus,NA,80,weiß,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Aquilegia atrata,Schwarzviolette Akelei,Hahnenfußgewächse,V,Sonne,frisch bis trocken,normaler Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),70,braun,Bienenweide,Schmetterlingsweide,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Aquilegia vulgaris,Gemeine Akelei,Hahnenfußgewächse,V,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig,bis -34 °C (bis Klimazone 4),80,blau,Bienenweide,Schmetterlingsweide (3 Arten),NA,NA,NA,"ja, Kübelgröße mittel",60-100 cm
Baden-Württemberg,Arabis alpina,Alpen-Gänsekresse,Kreuzblütlergewächse,2,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,basisch / kalk,normal bis humus,bis -34 °C (bis Klimazone 4),40,weiß,NA,Schmetterlingsweide (2 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Baden-Württemberg,Arctostaphylos uva-ursi,Echte Bärentraube,Heidekrautgewächse,1,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,NA,durchlässig bis humus,bis -40 °C (bis Klimazone 3),30,weiß,NA,Schmetterlingsweide (2 Arten),Vogelnährgehölz (2 Arten),2 fressende Arten,NA,NA,0-40 cm
Baden-Württemberg,Arnica montana,Echte Arnika,Korbblütler,2,Sonne,feucht bis frisch,nährstoffarmer Boden,sauer,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),50,gelb,Bienenweide,Schmetterlingsweide (5 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Baden-Württemberg,Artemisia campestris,Feld-Beifuß,Korbblütler,V,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,"bis -45,5 °C (bis Klimazone 2)",100,rot,NA,Schmetterlingsweide (30 Arten),NA,25 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Artemisia pontica,"Pontischer Beifuß,Römischer Wermut",Korbblütler,1,Sonne,trocken,normaler Boden,basisch / kalk,durchlässig,bis -34 °C (bis Klimazone 4),50,weiß,NA,NA,NA,NA,NA,ja,40-60 cm
Baden-Württemberg,Asperula tinctoria,Färber-Meier,Rubiaceae,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),70,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Aster amellus,"Berg-Aster,Kalk-Aster",Korbblütler,V,Sonne,trocken,normaler Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),50,lila,Bienenweide (1 Arten),Schmetterlingsweide (4 Arten),NA,2 fressende Arten,NA,"ja, Kübelgröße mittel",40-60 cm
Baden-Württemberg,Aster bellidiastrum,Alpenmaßlieb,Korbblütler,V,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,basisch / kalk,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),30,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Aster linosyris,Goldhaar-Aster,Korbblütler,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),60,gelb,Bienenweide,Schmetterlingsweide,NA,NA,ja,"ja, Kübelgröße mittel",40-60 cm
Baden-Württemberg,Astragalus cicer,Kicher-Tragant,Hülsenfrüchtler,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),90,gelb,Bienenweide,Schmetterlingsweide,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Athamanta cretensis,"Alpen-Augenwurz,Zottige Augenwurz",Doldenblütler,2,Sonne,trocken,nährstoffarmer Boden,basisch / kalk,durchlässig,bis -23 °C (bis Klimazone 6),40,weiß,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Bartsia alpina,"Alpen-Bartschie,Alpenhelm",Sommerwurzgewächse,V,Sonne,feucht bis frisch,normaler Boden,basisch / kalk,humus,bis -28 °C (bis Klimazone 5),20,violett,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Betula humilis,Niedrige Birke,Birkengewächse,2,Sonne,feucht bis frisch,normaler Boden,NA,normal bis lehmig,bis -34 °C (bis Klimazone 4),200,grün,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Betula nana,Zwerg-Birke,Birkengewächse,1,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,NA,NA,80,grün,NA,Schmetterlingsweide (3 Arten),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Bryonia alba,Weiße Zaunrübe,Kürbisgewächse,R,Sonne,frisch,nährstoffreicher Boden,NA,lehmig,NA,400,grün,Bienenweide (1 Arten),Schmetterlingsweide (2 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Buphthalmum salicifolium,"Ochsenauge,Weidenblatt-Rindsauge",Korbblütler,V,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),60,gelb,Bienenweide (4 Arten),NA,NA,NA,NA,"ja, Kübelgröße mittel",40-60 cm
Baden-Württemberg,Bupleurum longifolium,Langblättriges Hasenohr,Doldenblütler,V,Halbschatten,frisch bis trocken,normaler bis nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,bis -23 °C (bis Klimazone 6),90,gelb,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Bupleurum rotundifolium,"Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr",Doldenblütler,1,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig,bis -23 °C (bis Klimazone 6),50,gelb,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Calamagrostis pseudophragmites,Ufer-Reitgras,Süßgräser,2,Sonne bis Halbschatten,feucht,normaler Boden,NA,durchlässig,NA,120,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Calamagrostis varia,Berg-Reitgras,Süßgräser,V,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,NA,150,grün,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,100+ cm
Baden-Württemberg,Calendula arvensis,Acker-Ringelblume,Korbblütler,1,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig bis humus,NA,20,gelb,Bienenweide,Schmetterlingsweide (2 Arten),NA,NA,NA,"ja, Kübelgröße mittel",0-40 cm
Baden-Württemberg,Calla palustris,"Sumpfkalla,Drachenwurz",Aronstabgewächse,2,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),50,weiß,NA,NA,NA,NA,NA,ja,40-60 cm
Baden-Württemberg,Campanula cervicaria,Borstige Glockenblume,Glockenblumengewächse,2,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),80,blau,Bienenweide (3 Arten),Schmetterlingsweide,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Campanula cochleariifolia,"Zwerg-Glockenblume,Niedliche Glockenblume",Glockenblumengewächse,3,Sonne bis Schatten,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),15,blau,Bienenweide (1 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,ja,ja,0-40 cm
Baden-Württemberg,Campanula glomerata,"Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume",Glockenblumengewächse,V,Sonne bis Halbschatten,frisch bis trocken,nährstoffarmer bis normaler Boden,basisch / kalk,durchlässig bis lehmig,"bis -45,5 °C (bis Klimazone 2)",60,violett,Bienenweide (10 Arten),Schmetterlingsweide,NA,NA,NA,ja,40-60 cm
Baden-Württemberg,Campanula rhomboidalis,Rautenblättrige Glockenblume,Glockenblumengewächse,R,Sonne,feucht,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),70,violett,Bienenweide (1 Arten),Schmetterlingsweide,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Campanula scheuchzeri,Scheuchzers Glockenblume,Glockenblumengewächse,V,Sonne,frisch,nährstoffreicher Boden,NA,lehmig,bis -28 °C (bis Klimazone 5),20,violett,Bienenweide,Schmetterlingsweide,NA,NA,ja,ja,0-40 cm
Baden-Württemberg,Carduus acanthoides,Weg-Distel,Korbblütler,V,Sonne,trocken,nährstoffreicher Boden,NA,normal bis humus,NA,120,blau,Bienenweide (3 Arten),Schmetterlingsweide (4 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Carduus defloratus,Alpen-Distel,Korbblütler,V,Sonne,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),80,rosa,Bienenweide (2 Arten),Schmetterlingsweide (2 Arten),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Carex davalliana,"Davalls Segge,Torf-Segge",Sauergrasgewächse,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,basisch / kalk,durchlässig bis humus,bis -34 °C (bis Klimazone 4),40,braun,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Carex diandra,Draht-Segge,Sauergrasgewächse,2,Sonne bis Halbschatten,feucht,NA,sauer,durchlässig,NA,60,braun,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Carex ericetorum,Heide-Segge,Sauergrasgewächse,2,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,sauer,durchlässig,NA,30,gelb,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Carex flava,Gelbe Segge,Sauergrasgewächse,V,Sonne,feucht bis frisch,NA,NA,durchlässig bis normal,bis -12 °C (bis Klimazone 8),50,gelb,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Carex humilis,"Erd-Segge,Zwergsegge",Sauergrasgewächse,V,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),30,gelb,NA,NA,NA,NA,NA,ja,0-40 cm
Baden-Württemberg,Carex nigra,Wiesen-Segge,Sauergrasgewächse,V,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),50,grün,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Baden-Württemberg,Carex pseudocyperus,Scheinzypergras-Segge,Sauergrasgewächse,V,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,sauer,lehmig,bis -12 °C (bis Klimazone 8),90,grün,NA,NA,NA,NA,NA,ja,60-100 cm
Baden-Württemberg,Carex sempervirens,Horst-Segge,Sauergrasgewächse,3,Sonne,frisch bis trocken,NA,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),40,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Carex vulpina,Fuchs-Segge,Sauergrasgewächse,V,Sonne bis Halbschatten,feucht,NA,NA,durchlässig bis lehmig,bis -17 °C (bis Klimazone 7),60,grün,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Centaurea pseudophrygia,Perücken-Flockenblume,Korbblütler,3,Sonne bis Schatten,frisch,nährstoffreicher Boden,NA,lehmig,NA,80,rot,Bienenweide (1 Arten),NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Ceratophyllum submersum,Zartes Hornblatt,Hornblattgewächse,3,NA,Wasserpflanze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baden-Württemberg,Chenopodium bonus-henricus,Guter Heinrich,Fuchsschwanzgewächse,V,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),60,grün,NA,Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,40-60 cm
Baden-Württemberg,Chondrilla juncea,"Großer Knorpellattich,Binsen-Knorpellattich",Korbblütler,3,Sonne,trocken,normaler Boden,NA,durchlässig bis lehmig,NA,100,gelb,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Cicerbita plumieri,Französischer Milchlattich,Korbblütler,1,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),150,blau,Bienenweide,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Cicuta virosa,"Wasserschierling,Gift-Wasserschierling",Doldenblütler,2,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,humus,NA,150,weiß,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Cirsium acaule,Stängellose Kratzdistel,Korbblütler,V,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis lehmig,NA,10,rosa,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Cirsium rivulare,Bach-Kratzdistel,Korbblütler,V,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis normal,bis -28 °C (bis Klimazone 5),120,pink,NA,Schmetterlingsweide (5 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Cirsium tuberosum,Knollen-Kratzdistel,Korbblütler,3,Sonne bis Halbschatten,feucht,NA,basisch / kalk,durchlässig bis humus,NA,100,violett,NA,Schmetterlingsweide (6 Arten),NA,1 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Cladium mariscus,Binsen-Schneide,Sauergrasgewächse,3,Sonne,feucht,normaler Boden,sauer,lehmig,bis -40 °C (bis Klimazone 3),200,braun,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Colutea arborescens,Gelber Blasenstrauch,Hülsenfrüchtler,2,Sonne bis Halbschatten,trocken,normaler Boden,NA,durchlässig bis normal,bis -23 °C (bis Klimazone 6),200,gelb,Bienenweide,Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,100+ cm
Baden-Württemberg,Conium maculatum,Gefleckter Schierling,Doldenblütler,3,Sonne,feucht,nährstoffreicher Boden,NA,humus,NA,200,weiß,Bienenweide (1 Arten),NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Consolida regalis,"Gewöhnlicher Feldrittersporn,Ackerrittersporn",Hahnenfußgewächse,V,Sonne,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,NA,40,blau,Bienenweide (2 Arten),Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Baden-Württemberg,Coronilla coronata,Berg-Kronwicke,Hülsenfrüchtler,V,Sonne bis Halbschatten,trocken,nährstoffarmer bis normaler Boden,NA,durchlässig,bis -23 °C (bis Klimazone 6),50,gelb,NA,Schmetterlingsweide (4 Arten),NA,4 fressende Arten,NA,NA,40-60 cm
Baden-Württemberg,Coronilla vaginalis,Scheiden-Kronwicke,Hülsenfrüchtler,3,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,NA,durchlässig,NA,25,gelb,NA,Schmetterlingsweide (3 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Corydalis intermedia,Mittlerer Lerchensporn,Mohngewächse,V,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,NA,20,pink,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Corynephorus canescens,Gewöhnliches Silbergras,Süßgräser,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),30,violett,NA,Schmetterlingsweide (8 Arten),NA,8 fressende Arten,NA,NA,0-40 cm
Baden-Württemberg,Crepis tectorum,Dach-Pippau,Korbblütler,2,Sonne,frisch,nährstoffreicher Boden,sauer,humus,NA,60,gelb,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Cyperus longus,Hohes Zypergras,Sauergrasgewächse,0,Sonne bis Halbschatten,feucht,NA,sauer,durchlässig bis lehmig,bis -17 °C (bis Klimazone 7),120,braun,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Cytisus nigricans,Schwarzer Geißklee,Hülsenfrüchtler,V,Sonne bis Halbschatten,trocken,NA,NA,durchlässig,NA,100,gelb,Bienenweide (1 Arten),Schmetterlingsweide (4 Arten),NA,NA,NA,ja,60-100 cm
Baden-Württemberg,Dactylorhiza incarnata,"Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut",Orchideen,3,NA,feucht,NA,NA,durchlässig bis lehmig,NA,60,rosa,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Daphne cneorum,Rosmarin-Seidelbast,Seidelbastgewächse,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,basisch / kalk,durchlässig bis normal,bis -28 °C (bis Klimazone 5),40,rosa,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,ja,0-40 cm
Baden-Württemberg,Descurainia sophia,Gewöhnliche Besenrauke,Kreuzblütler,3,Sonne,frisch bis trocken,NA,NA,lehmig,NA,100,gelb,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Dianthus armeria,"Raue Nelke,Büschel-Nelke",Nelkengewächse,V,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,NA,40,rot,Bienenweide,Schmetterlingsweide,NA,NA,NA,"ja, Kübelgröße mittel",0-40 cm
Baden-Württemberg,Dianthus carthusianorum,Karthäuser-Nelke,Nelkengewächse,V,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -40 °C (bis Klimazone 3),40,pink,Bienenweide (3 Arten),Schmetterlingsweide (16 Arten),NA,3 fressende Arten,NA,ja,0-40 cm
Baden-Württemberg,Dianthus deltoides,Heide-Nelke,Nelkengewächse,3,Sonne,trocken,nährstoffarmer Boden,sauer,durchlässig bis lehmig,bis -40 °C (bis Klimazone 3),30,pink,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,ja,ja,0-40 cm
Baden-Württemberg,Dianthus gratianopolitanus,"Pfingst-Nelke,Grenobler Nelke",Nelkengewächse,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig,bis -40 °C (bis Klimazone 3),30,rosa,Bienenweide,Schmetterlingsweide (4 Arten),NA,NA,ja,ja,0-40 cm
Baden-Württemberg,Dianthus superbus,Pracht-Nelke,Nelkengewächse,3,Sonne bis Halbschatten,feucht bis trocken,normaler Boden,NA,durchlässig bis lehmig,bis -34 °C (bis Klimazone 4),50,pink,Bienenweide,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Dictamnus albus,Diptam,Rautengewächse,3,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig bis lehmig,bis -17 °C (bis Klimazone 7),120,rosa,Bienenweide,Schmetterlingsweide (1 Arten),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
